	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
R01-013	115487815	51528613.26	-19100.12433	-855	-251.4	84	202	-32.34752198	19	113	1057	105.4658745	56.67563809	151.9180691	148.4342869	-2.03432869	7.452050907	22032.73754	100886	2641.473289	2232.695984	1015.926603	0.384606048	0.909604515	0.046023303	0.752588923	1.099378888	61.92318397	19.37556104	11.26684042	0.793972513	0.581497506
R01-014	1958619240	2151803364	-15376.77429	-957	-793	-226	99	-573.3156987	-643	279	1056	175.3189977	122.7742897	612.7235741	216.1927101	0.920618075	3.020074123	46739.28791	49897	6983.825684	5731.567383	1974.787539	0.282765869	0.894731389	0.044899126	0.716272076	1.117653871	88.93905919	30.59000104	14.86863523	0.679332982	0.486061939
R01-015	906960457	312245512.1	-793981.5024	-938	-66	75	274	10.10375408	34	46	1212	56.43443992	21.05029928	100.1442238	99.63322596	-3.296124135	16.48449948	9926.779714	61983851	39808.79193	31134.67879	6119.465665	0.153721461	0.921347131	0.046917386	0.782113645	1.085367248	159.3560187	39.59996226	32.52587744	0.889099785	0.821361324
R01-016	60867746	51198283.29	-2499.527678	-763	-394	50	146	-110.5927602	-27.5	257.75	909	151.7889956	109.3571888	214.2505018	183.5007328	-1.161847987	3.515887544	33672.51892	6680	1056.47155	1115.351334	544.9355834	0.515807154	0.920543172	0.04685599	0.780068037	1.086315156	44.18124149	14.2047545	10.00128293	0.821798258	0.704079956
R01-017	3043589782	2298913480	-22149.52209	-1024	-859	-314	219	-631.5535662	-679	248.75	1243	167.0544635	107.9825586	668.3315972	218.6486151	1.099019946	4.059261512	47807.2169	79372	7437.730526	5146.815863	2117.388486	0.284682065	0.870249676	0.04306899	0.659070102	1.149095515	92.70056587	26.85608909	15.36430532	0.858872471	0.572097645
R01-018	7726157764	3566227300	-959798.6885	-993	-578	46	124	-97.79597738	17	70	1117	185.936862	96.98568936	265.8933457	247.2553702	-1.822904972	4.879304718	61135.21809	105566482	62151.45048	50442.20734	8008.215551	0.128850019	0.947507267	0.048929717	0.850643618	1.055400877	170.0037339	49.1555558	34.03417611	0.894600656	0.692376997
R01-019	1543654751	1425035285	-34038.62872	-936	-716.2	38	141	-285.081827	-236	566	1077	262.0758245	222.63178	408.7545532	292.9311125	-0.358944958	1.681796138	85808.63666	178089	12037.34843	8529.045105	3214.589516	0.267051297	0.790155356	0.037262124	0.49332993	1.265573906	116.4021602	36.15368069	14.97979198	0.79789745	0.414336568
R01-020	184610145	198762387.6	-29591.53687	-711	-276	92	234	-60.53923782	-23	190	945	115.7514827	81.27047095	156.5674426	144.3896284	-0.944659602	3.544472782	20848.36478	138767	9099.393311	8108.327637	2382.41439	0.261821235	0.884725298	0.044148052	0.692508865	1.130294344	94.30655631	30.04265899	16.8942712	0.841578891	0.562342741
R01-021	1897103750	871385061	-17691.78839	-1016	-826	4	108	-461.6404864	-551	605	1124	280.2158334	237.8004006	558.3153487	314.0128818	0.339372836	1.626470106	98604.08994	53640	3586.018109	2795.445152	1284.955189	0.358323676	0.881734419	0.043924373	0.685509349	1.134128348	72.67264862	23.45140148	11.34178707	0.707639265	0.483629393
R01-024	3636473007	1529391077	-42318.46704	-1024	-953	27	121	-434.3339335	-442	649	1145	307.6674872	256.944665	558.3627385	350.8888457	-0.070606155	1.667404614	123122.982	172732	7788.603788	4905.527134	2246.82681	0.288476198	0.845708966	0.0412601	0.604871058	1.18243987	102.8023936	35.85230676	14.15027247	0.460845156	0.394682344
